pub_date	title	venue	excerpt	lead	url_slug	paper_url
2018-05-11	Representation and evolution of urban weather boundary conditions in downtown Chicago	Journal of Building Performance Simulation	Led bi-weekly calls with 3-4 other national labs and helped organize goals and tasks for 2018 and 2019. The project funding was increased from $300k in FY17 to $1M in FY18 and is projected to further rise to $2.5M in FY19.  I was the group leader and representative for the Urban ECP project at the Energy System Modeling Track, ECP Annual Meeting, Knoxville 2017 	TRUE	checklist	https://www.tandfonline.com/doi/full/10.1080/19401493.2018.1534275
2022-11-18	Accelerating Flash-X Simulations with Asynchronous I/O	2022 IEEE/ACM International Parallel Data Systems Workshop (PDSW)	"First part of work as a part of ECP project: Flash-X I/O modernization using AsyncIO from HDF5"	TRUE	mhc_dos	https://ieeexplore.ieee.org/abstract/document/10026923
